Threshold,AUC
0.571,-0.982213
0.572,-0.982213
0.573,-0.982213
0.574,-0.982213
0.575,-0.982213
0.576,-0.982213
0.577,-0.982213
0.578,-0.982213
0.579,-0.982213
0.58,-0.982213
0.581,-0.982213
0.582,-0.982213
0.583,-0.982213
0.584,-0.982213
0.585,-0.982213
0.586,-0.982213
0.587,-0.982213
0.588,-0.982213
0.589,-0.982213
0.59,-0.982213
0.591,-0.982213
0.592,-0.982213
0.593,-0.982213
0.594,-0.982213
0.595,-0.982213
0.596,-0.982213
0.597,-0.982213
0.598,-0.982213
0.599,-0.982213
0.6,-0.982213
0.601,-0.982213
0.602,-0.982213
0.603,-0.982213
0.604,-0.982213
0.605,-0.982213
0.606,-0.982213
0.607,-0.982213
0.608,-0.982213
0.609,-0.982213
0.61,-0.982213
0.611,-0.982213
0.612,-0.982213
0.613,-0.982213
0.614,-0.982213
0.615,-0.982213
0.616,-0.982213
0.617,-0.982213
0.618,-0.982213
0.619,-0.982213
0.62,-0.982213
0.621,-0.982213
0.622,-0.982213
0.623,-0.982213
0.624,-0.982213
0.625,-0.982213
0.626,-0.982213
0.627,-0.982213
0.628,-0.982213
0.629,-0.982213
0.63,-0.982213
0.631,-0.982213
0.632,-0.982213
0.633,-0.982213
0.634,-0.982213
0.635,-0.982213
0.636,-0.982213
0.637,-0.982213
0.638,-0.982213
0.639,-0.982213
0.64,-0.982213
0.641,-0.982213
0.642,-0.982213
0.643,-0.982213
0.644,-0.982213
0.645,-0.982213
0.646,-0.982213
0.647,-0.982213
0.648,-0.982213
0.649,-0.982213
0.65,-0.982213
0.651,-0.982213
0.652,-0.982213
0.653,-0.982213
0.654,-0.982213
0.655,-0.982213
0.656,-0.982213
0.657,-0.982213
0.658,-0.982213
0.659,-0.982213
0.66,-0.982213
0.661,-0.982213
0.662,-0.982213
0.663,-0.982213
0.664,-0.982213
0.665,-0.982213
0.666,-0.982213
0.667,-0.982213
0.668,-0.982213
0.669,-0.982213
0.67,-0.982213
0.671,-0.982213
0.672,-0.982213
0.673,-0.982213
0.674,-0.982213
0.675,-0.982213
0.676,-0.982213
0.677,-0.982213
0.678,-0.982213
0.679,-0.982213
0.68,-0.982213
0.681,-0.982213
0.682,-0.982213
0.683,-0.982213
0.684,-0.982213
0.685,-0.982213
0.686,-0.982213
0.687,-0.982213
0.688,-0.982213
0.689,-0.982213
0.69,-0.982213
0.691,-0.982213
0.692,-0.982213
0.693,-0.982213
0.694,-0.982213
0.695,-0.982213
0.696,-0.982213
0.697,-0.982213
0.698,-0.982213
0.699,-0.982213
0.7,-0.982213
0.701,-0.982213
0.702,-0.982213
0.703,-0.982213
0.704,-0.982213
0.705,-0.982213
0.706,-0.982213
0.707,-0.982213
0.708,-0.982213
0.709,-0.982213
0.71,-0.982213
0.711,-0.982213
0.712,-0.982213
0.713,-0.982213
0.714,-0.982213
0.715,-0.982213
0.716,-0.982213
0.717,-0.982213
0.718,-0.982213
0.719,-0.982213
0.72,-0.982213
0.721,-0.982213
0.722,-0.982213
0.723,-0.982213
0.724,-0.982213
0.725,-0.982213
0.726,-0.982213
0.727,-0.982213
0.728,-0.982213
0.729,-0.982213
0.73,-0.982213
0.731,-0.982213
0.732,-0.982213
0.733,-0.982213
0.734,-0.982213
0.735,-0.982213
0.736,-0.982213
0.737,-0.982213
0.738,-0.982213
0.739,-0.982213
0.74,-0.982213
0.741,-0.982213
0.742,-0.982213
0.743,-0.982213
0.744,-0.982213
0.745,-0.982213
0.746,-0.982213
0.747,-0.982213
0.748,-0.982213
0.749,-0.982213
0.75,-0.982213
0.751,-0.982213
0.752,-0.982213
0.753,-0.982213
0.754,-0.982213
0.755,-0.982213
0.756,-0.982213
0.757,-0.982213
0.758,-0.982213
0.759,-0.982213
0.76,-0.982213
0.761,-0.982213
0.762,-0.982213
0.763,-0.982213
0.764,-0.982213
0.765,-0.982213
0.766,-0.982213
0.767,-0.982213
0.768,-0.982213
0.769,-0.982213
0.77,-0.982213
0.771,-0.982213
0.772,-0.982213
0.773,-0.982213
0.774,-0.982213
0.775,-0.982213
0.776,-0.982213
0.777,-0.982213
0.778,-0.982213
0.779,-0.982213
0.78,-0.982213
0.781,-0.982213
0.782,-0.982213
0.783,-0.982213
0.784,-0.982213
0.785,-0.982213
0.786,-0.982213
0.787,-0.982213
0.788,-0.982213
0.789,-0.982213
0.79,-0.982213
0.791,-0.982213
0.792,-0.982213
0.793,-0.982213
0.794,-0.982213
0.795,-0.982213
0.796,-0.982213
0.797,-0.982213
0.798,-0.982213
0.799,-0.982213
0.8,-0.982213
0.801,-0.982213
0.802,-0.982213
0.803,-0.982213
0.804,-0.982213
0.805,-0.982213
0.806,-0.982213
0.807,-0.982213
0.808,-0.982213
0.809,-0.982213
