编号,性别 男1女0,籍贯,身高(cm),体重(kg),鞋码,50米成绩,肺活量,喜欢颜色,喜欢运动,喜欢文学
724,0,辽宁,163.0,51.0,38.0,8.4,2600,黑,1.0,0.0
803,1,江西,184.0,75.0,44.0,6.7,5000,天蓝,1.0,1.0
21,1,四川,167.0,60.0,41.5,8,3700,蓝,1.0,1.0
120,1,河北,188.0,70.0,44.0,7,5500,蓝,1.0,1.0
260,1,四川,167.0,68.0,41.0,7,5000,黑,1.0,0.0
907,0,江西,161.0,52.0,38.0,10,2700,浅蓝,0.0,1.0
235,1,四川,170.0,62.0,40.0,7,4500,白,1.0,0.0
126,1,福建,171.0,60.0,43.0,8,4300,蓝,0.0,1.0
523,1,安徽,185.0,78.0,43.0,8,4300,黑,1.0,1.0
603,0,黑龙江,167.0,50.0,38.0,9,3000,紫,0.0,0.0
381,0,四川成都,160.0,52.0,36.0,10,1870,红橙黄绿青蓝紫,0.0,1.0
479,1,江西,159.0,62.0,41.0,8.5,4400,白,1.0,1.0
569,0,湖北,157.0,42.0,36.0,9.8,3000,粉,1.0,1.0
81,0,河北,163.0,40.0,37.0,9,5000,白,1.0,0.0
251,1,河北,183.0,67.0,43.0,7.9,5300,黑,1.0,1.0
301,0,四川,160.0,48.0,37.0,8.7,4500,蓝,1.0,1.0
13,1,四川,181.0,72.0,44.0,8,4500,蓝,0.0,1.0
48,1,四川,168.0,65.0,40.0,7.2,4000,白,1.0,0.0
902,0,广东,168.0,55.0,37.0,8,3700,粉色,1.0,1.0
247,1,四川,176.0,61.0,42.0,10,4000,蓝,1.0,1.0
108,1,山东,183.0,80.0,44.0,8,4500,蓝,0.0,1.0
122,1,河北,178.0,65.0,43.0,8,4000,蓝,1.0,1.0
737,0,浙江,160.0,50.0,37.0,9,4000,粉红色,1.0,0.0
603,0,黑龙江,167.0,50.0,38.0,9,3000,紫,0.0,0.0
62,0,湖南,165.0,48.0,36.0,8,2500,红,1.0,1.0
755,0,湖南,170.0,60.0,38.0,9.6,3500,蓝色,1.0,1.0
740,1,四川,170.0,53.0,41.0,7.3,3300,天蓝,1.0,1.0
666,1,河南,168.0,63.0,42.0,8,4079,白,1.0,1.0
26,1,河南,170.0,55.0,42.0,7.1,3000,蓝,0.0,1.0
792,1,河南,173.0,79.0,43.0,8,4000,绿,1.0,1.0
207,1,河北,171.0,71.0,41.0,7,3500,黑,0.0,1.0
385,0,福建龙岩,160.0,49.0,36.0,8.6,3036,蓝，白,1.0,1.0
684,1,四川,178.0,70.0,43.0,7.8,3700,蓝,1.0,0.0
222,0,昆明,169.0,58.0,37.0,9.2,5000,黑,1.0,1.0
574,1,湖南,172.0,89.0,43.0,8.3,3900,白,0.0,1.0
464,1,浙江,179.0,76.0,44.0,6.8,5500,蓝,1.0,0.0
892,1,浙江,175.0,70.0,42.0,8,5600,粉,1.0,1.0
214,0,湖北,167.0,50.0,38.0,10,4000,粉,1.0,0.0
29,0,山东,167.0,49.0,38.0,6.9,3800,紫,1.0,1.0
717,0,重庆,166.0,50.0,38.0,8,2200,蓝,0.0,0.0
32,0,四川,175.0,50.0,38.0,9,3800,蓝,0.0,1.0
60,1,河南,175.0,66.0,43.0,8,3900,紫,1.0,1.0
603,0,黑龙江,167.0,50.0,38.0,9,3000,紫,0.0,0.0
335,0,云南玉溪,167.0,49.0,38.0,10,2000,黄,0.0,0.0
377,1,云南曲靖,168.0,66.0,40.0,6.8,4000,蓝，白,1.0,1.0
548,1,四川,180.0,62.5,43.0,6.8,4000,红,1.0,1.0
216,1,吴浪,185.0,68.0,44.0,7,4600,白,1.0,0.0
675,0,四川,164.0,48.0,37.0,10,3000,白,0.0,1.0
897,1,江西,175.0,70.0,42.0,6.8,4200,黑色,1.0,0.0
526,0,重庆,165.0,55.0,37.0,9,3530,紫,1.0,1.0
871,0,山东,164.0,52.0,38.0,9,3000,粉色,1.0,1.0
221,0,成都,167.0,50.0,37.0,9.6,4000,紫,1.0,0.0
291,0,江西,160.0,58.0,37.0,9,3100,白,1.0,0.0
755,0,湖南,170.0,60.0,38.0,9.6,3500,蓝色,1.0,1.0
209,0,四川,168.0,45.0,40.0,6,4500,蓝,0.0,0.0
419,0,福建福州,168.0,59.0,38.0,8.8,2000,蓝色,0.0,1.0
773,0,江苏,166.0,49.0,40.0,10,4000,蓝,1.0,1.0
27,0,新疆,168.0,44.0,38.0,9,4000,紫,0.0,0.0
750,1,江西,172.0,62.0,41.0,8,4000,蓝,0.0,1.0
344,0,内蒙古鄂尔多斯,165.0,51.0,37.0,12,3600,绿,1.0,1.0
807,1,四川,166.0,56.0,41.0,6.8,3800,紫色,1.0,0.0
234,1,山东,176.0,80.0,43.0,8,4700,蓝,1.0,1.0
845,1,河北,184.0,87.0,45.0,7. .9,5000,灰,1.0,1.0
391,0,河南商丘,160.0,55.0,36.5,8.3,2800,灰白蓝紫,1.0,1.0
569,0,湖北,157.0,42.0,36.0,9.8,3000,粉,1.0,1.0
526,0,重庆,165.0,55.0,37.0,9,3530,紫,1.0,1.0
563,1,山东,183.0,90.0,43.0,7.8,5500,蓝,1.0,
190,1,江西,170.0,60.0,41.0,7.6,3500,蓝,1.0,1.0
84,1,四川,175.0,66.0,42.0,6.9,3700,蓝,1.0,0.0
