Accuracy,Sensitivity,Specificity,AUC,TP,FP,TN,FN
0.95,0.97648686,0.923291492,0.990402032,706,55,662,17
0.95,0.97648686,0.923291492,0.990582398,706,55,662,17
0.95,0.97648686,0.923291492,0.990477265,706,55,662,17
0.95,0.97648686,0.923291492,0.990463762,706,55,662,17
0.95,0.97648686,0.923291492,0.990364416,706,55,662,17
0.95,0.97648686,0.923291492,0.99048691,706,55,662,17
0.95,0.97648686,0.923291492,0.990452188,706,55,662,17
0.95,0.97648686,0.923291492,0.990409749,706,55,662,17
0.95,0.97648686,0.923291492,0.990517775,706,55,662,17
0.95,0.97648686,0.923291492,0.990420358,706,55,662,17
0.95,0.97648686,0.923291492,0.990451223,706,55,662,17
0.95,0.97648686,0.923291492,0.99051874,706,55,662,17
0.95,0.97648686,0.923291492,0.990390458,706,55,662,17
0.95,0.97648686,0.923291492,0.990565037,706,55,662,17
0.95,0.97648686,0.923291492,0.990355735,706,55,662,17
0.95,0.97648686,0.923291492,0.990395281,706,55,662,17
0.95,0.97648686,0.923291492,0.990516811,706,55,662,17
