Training_ID,Kernel,Accuracy,Sensitivity,Specificity,AUC,TP,FP,TN,FN
64,rbf,0.9701388888888889,0.9640387275242047,0.9762900976290098,0.994724059638381,697,17,700,26
65,linear,0.96875,0.9626556016597511,0.9748953974895398,0.9930805125860596,696,18,699,27
65,poly,0.95,0.9764868603042877,0.9232914923291492,0.9904946266428235,706,55,662,17
65,rbf,0.9701388888888889,0.9640387275242047,0.9762900976290098,0.9946989820425123,697,17,700,26
66,linear,0.96875,0.9626556016597511,0.9748953974895398,0.9931692486945182,696,18,699,27
66,poly,0.95,0.9764868603042877,0.9232914923291492,0.9904087841031188,706,55,662,17
66,rbf,0.9701388888888889,0.9640387275242047,0.9762900976290098,0.9947703567384465,697,17,700,26
67,linear,0.96875,0.9626556016597511,0.9748953974895398,0.9930862997235677,696,18,699,27
67,poly,0.95,0.9764868603042877,0.9232914923291492,0.9902988284904637,706,55,662,17
67,rbf,0.9701388888888889,0.9640387275242047,0.9762900976290098,0.9947973633801513,697,17,700,26
68,linear,0.96875,0.9626556016597511,0.9748953974895398,0.9931171644569445,696,18,699,27
68,poly,0.95,0.9764868603042877,0.9232914923291492,0.9904859459365614,706,55,662,17
68,rbf,0.9701388888888889,0.9640387275242047,0.9762900976290098,0.9947626405551021,697,17,700,26
69,linear,0.96875,0.9626556016597511,0.9748953974895398,0.993165390602846,696,18,699,27
69,poly,0.95,0.9764868603042877,0.9232914923291492,0.9903171544259064,706,55,662,17
69,rbf,0.9701388888888889,0.9640387275242047,0.9762900976290098,0.9947973633801513,697,17,700,26
70,linear,0.96875,0.9626556016597511,0.9748953974895398,0.9931885391528787,696,18,699,27
70,poly,0.95,0.9764868603042877,0.9232914923291492,0.9905515334949875,706,55,662,17
70,rbf,0.9701388888888889,0.9640387275242047,0.9762900976290098,0.9947587824634302,697,17,700,26
71,linear,0.96875,0.9626556016597511,0.9748953974895398,0.9931461001444856,696,18,699,27
71,poly,0.95,0.9764868603042877,0.9232914923291492,0.9904222874239714,706,55,662,17
71,rbf,0.9701388888888889,0.9640387275242047,0.9762900976290098,0.9947202015467089,697,17,700,26
72,linear,0.96875,0.9626556016597511,0.9748953974895398,0.9931866101070427,696,18,699,27
72,poly,0.95,0.9764868603042877,0.9232914923291492,0.9905833627512823,706,55,662,17
72,rbf,0.9701388888888889,0.9640387275242047,0.9762900976290098,0.9948166538385119,697,17,700,26
73,linear,0.96875,0.9626556016597511,0.9748953974895398,0.9932039715195673,696,18,699,27
73,poly,0.95,0.9764868603042877,0.9232914923291492,0.9904271100385618,706,55,662,17
73,rbf,0.9701388888888889,0.9640387275242047,0.9762900976290098,0.9947202015467089,697,17,700,26
74,linear,0.96875,0.9626556016597511,0.9748953974895398,0.9931383839611413,696,18,699,27
74,poly,0.95,0.9764868603042877,0.9232914923291492,0.9904570102490204,706,55,662,17
74,rbf,0.9701388888888889,0.9640387275242047,0.9762900976290098,0.9947780729217907,697,17,700,26
75,linear,0.96875,0.9626556016597511,0.9748953974895398,0.993161532511174,696,18,699,27
75,poly,0.95,0.9764868603042877,0.9232914923291492,0.9903952807822667,706,55,662,17
75,rbf,0.9701388888888889,0.9640387275242047,0.9762900976290098,0.9947472081884137,697,17,700,26
76,linear,0.96875,0.9626556016597511,0.9748953974895398,0.993196255336223,696,18,699,27
76,poly,0.95,0.9764868603042877,0.9232914923291492,0.9904936621199054,706,55,662,17
76,rbf,0.9701388888888889,0.9640387275242047,0.9762900976290098,0.9946816206299878,697,17,700,26
